"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563"
"CATMA1a00350",9.710897182,9.832589512,9.884594977,9.945774681,9.877853101,10.2024633,9.840158667,10.08884718,9.810454829,9.180297668,8.563987414,8.699412896,8.17787222,8.147021191,8.613554801,8.587857813,8.178450681,8.765038918,8.260152065,9.061737572,7.980802935,8.604973696,8.613994629,7.878298533
"CATMA1a00725",12.08829663,12.45256863,12.8080974,12.90571954,12.74929398,12.90297254,12.97629051,12.69403589,13.25955772,12.80145313,13.54988739,12.97714192,13.89385453,14.73708072,14.62332761,14.66936134,14.80702938,13.8308117,14.22007014,14.15101582,13.67340625,13.85283398,13.41582181,13.55656859
"CATMA1a00790",6.852163608,6.556422557,5.563840619,5.361027679,5.634317118,7.145823518,5.293818662,6.482772773,6.372674088,5.784951387,5.45717468,6.923722664,5.975970906,6.552420957,6.408499013,5.75183188,6.424627818,6.931872338,5.291560822,6.161164545,6.177830386,6.846154179,6.833599818,6.340552321
"CATMA1a02710",9.362606881,9.646484932,8.855507659,8.812352032,8.742347925,9.077515471,9.166194662,9.859782224,9.956077417,9.171174919,10.66472372,11.39778425,11.97526585,12.40335985,11.99235741,12.45413799,12.54174739,11.72692974,12.51735157,12.25779929,11.77619586,11.9633624,12.24837949,12.46134286
"CATMA1a05095",7.895252993,8.104989983,7.441709832,7.813740897,7.869875115,7.599805598,7.838487268,7.913709514,7.438729916,7.879662788,7.859483206,8.679365766,8.014735014,8.383140548,7.882209708,7.89339747,8.260202359,8.112756067,7.736282753,8.286980938,8.432765633,8.209931992,8.26241888,8.718876538
"CATMA1a05200",7.392269675,8.860618574,8.407620185,7.558526323,8.403316498,8.316227443,9.027104143,8.624349254,9.81305363,9.064421352,10.68415751,10.44064701,11.86575988,11.69380624,11.36608955,11.36136656,11.05693992,11.22802691,11.22617937,10.89781807,10.18256532,9.980421647,10.93072476,10.62073062
"CATMA1a05220",7.502496154,7.600797117,8.006628179,8.312832642,7.971205197,7.924247,8.07233649,8.143383016,8.287564727,8.523113296,8.948410693,9.015378819,9.992354903,10.40767351,10.47595809,10.27849291,10.22192374,9.804745233,10.1813603,9.627718844,9.342102481,9.792316038,9.469273851,9.253248476
"CATMA1a06705",11.93316048,12.13681879,11.82990469,12.04505063,11.50660754,11.86736866,11.75408379,11.39650995,11.06190715,11.44199724,11.75538678,11.62893478,11.31038518,11.7841029,11.67413713,12.17438074,12.10884843,11.88465052,12.2354511,12.15878906,11.64659082,11.50528788,11.74647693,11.98984312
"CATMA1a07860",10.2311833,9.634144302,10.08745081,10.0666866,10.17424021,10.59343471,9.914212327,9.660611667,10.11387515,9.708034429,9.198649071,8.858668743,8.558691669,8.273770635,8.026045276,8.247058585,8.249333469,8.57015323,8.167412238,8.432747381,8.043006802,8.398552331,8.484604653,8.285311792
"CATMA1a08395",11.44006468,11.28355844,11.338045,11.23705437,11.03059768,11.1125062,11.39882421,11.62215976,11.48877051,11.68397031,11.65145377,11.44209452,10.55456333,10.85750072,11.21663786,11.59632988,11.56858638,11.67609471,11.72511708,11.34935329,10.99851084,11.32778138,10.81078938,10.76936751
"CATMA1a12280",14.27256617,13.70130681,13.60294675,13.67563699,13.38749698,13.06794168,13.15385872,13.69500063,13.12852131,13.30820007,13.27705052,13.42736414,12.37112114,11.43743691,11.60736869,11.4079979,11.73290208,11.80074398,11.47156116,11.77134221,11.78481696,11.84715674,11.84572058,12.53263474
"CATMA1a12920",10.43608276,10.17636328,10.32686675,10.05034923,10.43085378,10.28137791,10.47834485,10.47216255,10.62102674,9.840270116,9.83358864,9.719007239,10.07101933,10.12937265,10.14584218,9.931063807,9.583762813,10.069903,9.687784946,9.622546726,9.416534626,9.084868058,9.24800253,8.766049256
"CATMA1a15390",9.395645992,9.664568295,9.551753943,9.860005761,10.16918736,9.269094731,9.696857923,10.15975088,9.89468172,10.13893029,9.317571843,9.463657137,8.600978879,8.097792429,8.34030418,7.745059991,8.20901258,8.974052666,8.498982748,8.477320519,8.530395659,8.658676814,8.799630885,8.79063278
"CATMA1a16410",6.414910539,5.405915779,5.538533526,6.369623007,5.722485748,6.348328301,5.424188772,6.156374873,6.070669747,6.54054709,6.514586266,7.070185879,7.631023271,7.647451136,7.225457733,7.176693501,5.869101132,6.177538746,6.030737073,5.589587868,6.519522201,6.79329906,6.709235631,6.469016832
"CATMA1a16465",13.92085095,12.72701326,12.35401173,11.91711609,11.96923998,11.59797136,11.57543586,11.77221703,11.81809261,12.6125556,12.77329564,12.93024675,13.91580626,13.68657699,13.49022489,13.33129862,13.16541078,12.80219694,12.83872024,12.61264791,12.78690963,12.72281394,13.15534031,12.69733943
"CATMA1a17310",9.458354939,8.907147811,8.665228053,8.677098065,8.660040907,8.537994164,8.821892604,9.111762771,8.91484419,8.995170193,9.639542295,9.960975465,10.95762012,11.15667212,10.88061895,10.34709727,10.9293313,10.69153994,10.99719989,11.2036819,10.84462345,10.85775666,11.04973437,10.71545632
"CATMA1a17615",8.219016846,8.66374761,8.354265694,8.312404169,8.393873333,8.788856853,8.678804607,8.503986786,9.787833792,9.172997626,10.61923287,10.78204644,11.7028125,10.85157717,10.44738053,10.03877607,9.840213973,10.16323755,10.0584039,10.01399498,9.666227638,9.477599391,9.89503312,9.673772212
"CATMA1a18220",11.91588666,10.81167269,10.20720622,9.857168975,10.03585523,9.60932342,10.01976379,10.3967915,10.92039591,10.80983792,11.70275816,11.70017969,13.28180712,13.04634661,12.53207974,12.10207391,12.12854637,11.98059831,11.91497402,11.64473119,11.42515572,11.48292435,11.99032167,11.47928831
"CATMA1a21215",12.50326749,12.42964286,12.18851548,12.08991546,11.82123625,11.18069896,11.15074804,11.0956571,10.68559798,11.40673624,11.82583252,12.09478819,12.0604363,11.38343068,11.23935081,10.18253861,10.48769898,10.41870651,10.06784605,9.536810355,9.355189104,9.748538107,10.19427598,10.77138843
"CATMA1a31015",13.77168687,13.04321153,13.29959776,13.07029041,13.08907008,12.30704151,12.46898022,12.42279099,12.3129857,13.14842055,12.92563464,13.0123555,13.06778493,12.66880657,12.61590976,12.22012423,12.33928062,12.47608826,12.35851871,12.35446929,12.33876415,12.63679056,12.40283191,12.48783258
"CATMA1a40805",10.26562171,9.953461714,9.671028064,9.599714095,9.540623646,9.404210977,9.194498965,9.258268307,8.989169646,8.168925572,9.186748594,9.481184315,8.633158913,8.343979143,8.264236172,8.300932433,7.921005155,8.290629991,6.842941937,7.278646293,6.625230314,6.73741661,7.494667565,8.611208217
"CATMA1a43920",11.70789319,10.66907029,10.58150257,10.40506184,9.834934059,9.044634959,9.498190286,9.272205304,9.70813195,10.43124889,11.69981348,12.08338785,13.01299757,13.34755564,12.98283896,13.12167951,13.02429072,12.18429599,13.02199749,12.61611243,12.08783579,12.19769795,12.23440114,12.49507219
"CATMA1a46055",9.215708936,8.615469015,8.76398589,8.750120236,8.987190848,9.230386071,9.295026316,8.612735682,9.600481387,9.651196467,10.11570189,11.22878843,11.03173201,10.95316436,11.40475083,11.30924794,11.76827566,12.97635407,12.76499295,12.92430631,13.40766458,12.96172773,13.86914346,13.09044996
"CATMA1a47270",10.15236558,9.88729746,10.02618673,10.95480965,10.47059429,9.54981361,10.36715054,10.50447426,10.1417765,10.80713326,10.02464225,9.802214095,8.712356955,8.592792086,9.16989312,9.612324982,9.02842905,9.358713716,8.868359197,9.270525608,9.04507367,9.350943721,9.261975508,9.200579078
"CATMA1a51390",9.148314677,8.886181869,9.043607006,8.54887459,9.279158153,9.20798698,9.159208784,8.634099939,9.78717297,9.244496354,10.2489014,9.994258476,11.53942856,11.72823245,11.31508509,11.22604145,11.37562982,11.22422582,11.31717552,11.4053676,11.38953158,10.58660319,11.36832526,10.65540891
"CATMA1a53560",7.148529207,7.041277473,6.666004382,7.055151385,7.006628586,7.336984019,7.616678297,7.905898308,6.876687629,7.306599327,6.840691714,7.300756116,6.608921423,6.942036378,7.395197511,6.492398883,6.679267619,7.248625426,7.334055701,6.987472486,7.028210339,6.826329291,7.514916344,6.030961926
"CATMA1a53565",9.780396746,9.727992512,10.09450284,9.76403,9.770160463,9.754962877,9.617728843,9.095310649,9.690313076,9.910517119,9.845089533,10.00256381,10.04187342,9.916906721,9.717226074,9.2950867,9.62854563,9.826945141,9.548213334,9.831631045,10.03810185,10.06834614,9.947527224,10.00627443
"CATMA1a54343",8.314152133,7.974683034,9.046710554,10.39655538,10.70524628,9.486905654,9.305030014,9.652408004,8.696048003,9.026973771,7.986933517,7.279916907,6.501485743,7.167028124,7.458469855,8.455173183,8.362018562,7.886500212,8.157396993,7.680723866,7.149243916,8.333367102,7.66386805,7.342791466
"CATMA1a54346",8.190566664,8.10266094,8.638163113,9.166825161,9.451594189,8.796591859,8.63916873,8.677393721,8.257372343,8.865641897,8.16897235,8.066611847,7.824578826,7.690495996,7.644186001,7.887162266,7.467236273,7.578886647,8.056107892,7.805001545,7.779712218,8.130459112,7.754276985,7.682463062
"CATMA1a61750",11.54032113,10.8986344,10.51437948,10.4871976,10.7837497,10.29134296,10.45366222,11.05817108,11.14031929,11.71942533,12.85172739,13.33060006,13.87305435,13.92009726,13.58355639,13.33187817,13.44771258,13.01531508,13.50566749,13.13386712,13.14210978,12.83818903,13.53986904,13.19539184
"CATMA1a62725",7.366727735,7.884903845,7.686589245,7.589885941,7.566144737,7.480252178,7.722113795,7.564886084,7.725009615,7.547807615,7.973960348,8.001969344,8.500328832,8.622519937,8.489837725,9.130994754,8.743030324,8.641235697,9.305754467,9.375290365,9.530911219,9.208073286,9.734324885,9.197335169
"CATMA1a63980",9.385160359,9.362646841,8.731889288,8.220991013,8.83698761,8.672098939,9.334825487,10.01899879,10.36775088,10.46813926,11.84648538,11.85231866,13.14491395,13.13768519,13.04402586,12.16605296,12.77418467,11.92675197,11.6983145,11.53402639,11.4692355,11.62859748,12.03017819,11.73839068
"CATMA1a64075",11.33135656,10.588469,10.87960011,10.70956266,11.02707087,10.72942283,10.70442205,11.07231973,10.96401938,11.16245468,11.48135898,10.89399133,11.39309556,10.14051609,10.16897006,9.523580295,9.855255212,9.845993907,9.17942546,9.148068646,8.844015653,9.23188437,9.257531452,9.120847333
"CATMA1a67475",13.54426436,14.07505657,14.06079181,14.32439195,14.03447052,14.06056748,14.05550727,14.30063069,13.83257465,14.00620006,14.4978313,14.29504885,14.48355412,15.30655654,15.38708148,14.91489741,15.51780016,15.10520228,15.12601938,15.29972903,14.86131101,14.9828799,14.98034065,15.02179024
"CATMA1a70060",12.0867653,11.29187656,10.62324534,10.51571172,10.17951574,10.25281737,10.40682105,10.83696143,11.24381516,11.70510789,12.60312064,12.19483389,13.40218487,13.10798547,12.68766662,11.61578507,11.96540345,11.49929652,11.52468637,11.01120683,10.79930781,10.74914919,11.08627068,10.69670173
"CATMA1c71010",9.157468374,9.239560215,8.924519989,8.829069445,8.956398887,9.033160499,9.076898153,9.394197692,9.287688176,9.061871763,9.496402588,9.484444337,10.05685371,9.934977336,9.90674789,10.04374934,9.985492165,9.950279048,9.502518717,9.862850984,10.241678,9.711423117,10.08433739,10.14335386
"CATMA1c71257",9.75204322,9.570021871,8.906890565,9.302565111,9.439050689,9.383940377,9.328829727,10.31962515,10.16899293,9.602408483,10.81864448,11.91927984,11.81021475,12.20224283,12.61147327,12.76332796,13.14129178,12.27087544,12.84029639,12.72912839,12.45163908,12.69623492,12.37770917,12.17754867
"CATMA1c71258",9.257808327,9.850989237,9.544709755,9.878146145,9.843755657,9.60183391,9.566691651,10.1737466,9.645827152,9.780733978,10.00109203,10.4499652,10.04035722,10.98447702,11.13222332,11.97515695,12.41812892,11.79907188,11.92934398,11.86996297,11.46156075,11.59175669,11.0513131,11.02087384
"CATMA1c71260",7.808658033,8.137494906,7.336641507,7.125004849,7.323919611,7.609960384,7.113865432,7.52146478,7.166673235,7.575076266,6.854851945,7.780581496,8.573305678,8.127559666,8.152785658,7.709887808,7.133091888,7.508047715,7.261111841,7.466112259,7.415452389,7.791885432,7.319836932,7.260686436
"CATMA1c71262",6.791002213,7.493798143,7.498777376,7.324623093,7.04592102,7.239031375,7.142476929,6.896385718,7.140010454,7.044004439,6.798039435,7.195419048,7.401839489,7.570111196,7.281104557,7.342259434,7.523105036,6.95413728,6.286651322,7.007518935,7.532096322,7.256778644,7.892437414,7.843215388
"CATMA1c71573",10.16444983,10.14277309,10.31738823,10.07755704,10.32045386,10.45069004,10.41142927,10.17249031,10.49020723,10.35851035,10.50471646,10.06771978,10.28545682,10.51370669,10.68916364,10.4336465,10.67472569,10.5351126,10.23974007,10.39697319,10.51667564,10.22901803,10.40252283,10.42745008
"CATMA1c71720",7.558189078,7.887419087,8.231732293,7.774305839,7.752299573,7.891696057,7.843868674,7.155452404,6.953878822,6.826712099,7.716049503,7.217319577,7.137777719,7.455541963,6.995878357,6.662093611,7.380283278,7.190191758,7.611119346,6.782545328,7.006708998,6.416895755,6.407376173,6.760696215
"CATMA1c72152",6.938069739,6.791230542,7.297688072,7.093537118,7.170351463,5.94475596,6.118251842,7.705645156,7.80569184,7.953196293,8.873129941,8.81417844,9.714923878,9.779891176,9.709179823,9.224703429,9.467931967,9.128407668,8.83130936,8.721919664,8.389655329,8.603738325,8.834370897,8.496905104
"CATMA1c72251",10.88067402,9.795734982,9.188140188,9.022899331,8.974118556,9.14074445,9.329026933,9.773864659,10.16170552,10.46879001,11.69321892,11.18389291,12.73422238,12.1220834,11.71912887,10.66767066,10.87642492,10.3766756,10.02910594,9.778649323,9.660643441,9.687864402,9.910733541,9.317698054
"CATMA2a02260",11.55353636,11.43582215,11.51022334,11.14340424,11.40505592,11.25211595,11.06925584,11.17748435,10.58466754,10.60959723,10.25602148,9.960973084,9.516655023,9.163997414,9.329711749,9.187299961,8.939017006,9.455805274,9.325386219,8.819835231,8.116900337,8.775620231,8.436069614,8.93131833
"CATMA2a12440",9.04324314,9.392825735,10.08561253,9.977270786,10.29213391,10.59732507,10.29243965,10.11887641,10.77817228,10.93596744,10.6850964,10.33731612,10.39391269,9.236852342,9.26626426,9.82325019,9.846069498,9.914364847,9.445660078,9.979623613,9.841711776,9.603646004,9.733239228,10.74829534
"CATMA2a23310",11.81740029,12.13045356,12.47641139,12.54233097,12.35462299,11.42461261,11.75986229,12.38846398,12.17779336,12.32439407,10.93022999,10.5687658,9.639525021,9.440306785,9.71220596,9.60329393,9.242240282,9.832515727,9.563234574,9.410840357,9.267597366,9.910920753,9.511219909,9.396947725
"CATMA2a27810",12.68384892,12.66004024,12.43465249,12.453566,12.27633082,12.47021832,12.67432682,13.00428542,12.68550973,12.38163608,12.57039655,12.92802386,13.25441195,13.6963855,13.71183036,14.07132035,14.09594182,13.73515516,13.98557846,13.99879489,13.63424502,13.70183181,13.59824395,13.78007292
"CATMA2a29435",7.187818266,7.139733699,7.612968131,7.5427515,7.034101683,7.300645956,7.779885219,7.424858029,7.898397123,8.336955471,9.332027867,9.043530594,10.17301278,9.873369467,9.888592676,10.34292959,9.348060859,8.623793804,9.272657223,8.806496543,8.633599808,8.515421087,8.571897857,8.642388024
"CATMA2a32840",8.627631231,8.948066422,9.272886925,9.537606539,9.541258338,9.340488621,9.547271622,9.60550367,9.719529893,10.16674261,9.445014932,9.247888783,8.977438026,8.946962593,9.314678368,9.078117483,8.916161672,8.654425517,9.234871832,8.85531749,8.824697414,8.987236021,8.890676364,8.653079684
"CATMA2a36760",9.997981244,9.654539887,9.317610551,9.554791432,9.499608347,10.10855896,9.978151175,10.37861552,11.2916808,11.03862505,12.04852657,11.89716726,12.99725198,12.85996307,12.11841611,11.61256165,11.61259802,11.18612699,12.02085916,11.378175,11.26528285,10.97446016,11.85812435,11.27143597
"CATMA2a37910",8.964414992,8.875305468,8.957627077,8.804520546,8.875039422,8.909376458,8.987307465,8.947403834,9.065697744,8.822195618,9.123530397,8.769211058,9.589500254,9.56133919,9.700973696,9.422954063,9.56761867,9.512572268,9.915862582,9.951870834,9.479436257,9.614130971,9.867268003,9.440768327
"CATMA2a38810",12.52905622,12.54804495,12.97382619,12.77152269,12.86223091,12.82135099,12.68967223,12.72517568,12.51369714,12.49319548,12.3279771,12.2635085,11.27353362,11.01023081,11.30247696,11.03324664,11.06582439,11.36144398,11.38748739,11.49824664,11.33285911,11.37151765,11.35010756,11.43923308
"CATMA2a42185",10.95297215,10.91871033,11.0416763,10.79066318,11.11996502,11.00730023,11.01786947,10.75466135,11.00846025,11.10071602,11.39024202,11.45405242,12.07407798,12.39583913,12.10608316,12.33771994,12.14684471,11.93723716,12.27106083,12.053609,12.2283613,12.05081793,12.24726331,12.31317266
"CATMA2a43430",8.800852456,8.391759442,8.551646331,8.270438484,8.442737364,8.384352797,8.588754708,8.416844782,8.273525524,9.110803234,8.190777097,8.633081028,8.327144425,7.876484875,7.831511858,7.956362746,7.671076894,8.290285545,8.049324554,8.099999803,7.964694486,8.279420113,7.822348208,6.694911456
"CATMA2a43610",8.416105647,9.323072539,8.920259537,8.809215965,9.02322293,8.999903086,9.397878664,9.528899052,10.55710787,10.20093074,11.71879231,11.67976358,12.99072745,13.45974252,13.01861315,13.02681428,13.31585369,12.73382407,13.79917122,13.72168155,13.82583952,12.37359752,14.00381695,13.60259913
"CATMA2a45275",6.782992967,6.645759835,6.963002228,6.986145278,7.574953777,7.727129977,9.232484875,8.632257072,9.757853413,9.108658141,7.586119247,7.058330575,7.133852301,7.172424599,6.817252867,7.06806397,6.894402783,7.65072367,7.329495434,8.046743778,7.739887243,8.396177759,6.8078691,7.055704422
"CATMA2a45630",10.77159139,10.82382513,10.36951595,10.68733405,10.39796531,10.06662496,10.25675801,10.95835924,11.02408987,11.04187359,12.27118458,12.61333521,13.31457412,14.31149125,14.71743848,14.3675604,14.51082783,13.84758304,14.56885141,14.39337386,14.18251734,14.26097787,14.06172751,14.21120547
"CATMA2c47176",12.07334812,11.92246886,11.87225107,12.21127767,12.96895881,10.7687904,11.45833978,11.96377497,10.70168169,11.7361617,11.87550401,12.35799142,13.0988024,14.00819568,14.19092098,14.39250658,14.39819734,14.22638408,14.45939518,14.12797702,14.17411634,14.70729714,14.38948292,14.44453404
"CATMA2c47370",10.28553255,9.964178953,9.767076732,9.454098687,9.763273886,10.58820236,10.53188275,11.06250664,11.02267479,10.38366853,10.84193402,10.22658191,9.486680648,9.440412676,9.489278424,9.095857168,8.693884029,8.65058506,8.588815363,8.880027712,8.555991239,9.044935271,8.886154767,8.066197341
"CATMA2c47487",7.411312121,7.779011287,7.228156007,7.706501818,7.646540646,7.676809901,8.200823978,7.71943659,7.829370009,8.148934384,9.048208564,9.005612628,10.07589384,10.60914045,10.85520114,10.62945152,10.92751873,10.44026331,10.48745887,10.77773223,10.59610003,10.36003718,10.39868908,10.02435198
"CATMA2c47651",9.110950609,9.086190628,9.1587109,8.98024428,9.211246475,9.414263048,9.302728949,8.700673892,9.7499615,9.544217117,9.563988899,9.162229579,10.00816492,9.206736454,9.176767998,8.604587891,8.790930737,9.054783801,8.234663218,8.343601527,8.945261512,8.022911419,8.800512359,8.363287076
"CATMA3a00650",9.73265457,9.840721579,9.656082834,9.510223592,9.528189471,9.84385413,9.740860833,9.584337005,9.990079496,9.705908255,10.5148114,10.41619337,11.2194066,11.13449958,11.03625464,11.16490621,11.08060811,11.03079984,11.68078388,11.64540744,11.85021244,10.84251608,11.63964177,11.28078682
"CATMA3a01140",9.190650619,9.152974083,8.951935764,8.937529727,9.041483119,9.18132555,9.002635435,8.916783209,9.385600605,8.790368119,8.994744975,9.173276054,9.53482194,9.471257445,9.570292879,9.68561083,9.719175793,9.560616906,9.343345887,9.758330389,9.690169542,8.942470244,9.300258244,9.363750277
"CATMA3a05630",6.983703157,7.900774755,7.880902692,7.772839484,7.360147683,7.650334818,7.312511361,7.790984701,7.448706031,7.797484443,8.380479068,8.222294946,9.391096057,9.103962999,9.330830102,8.751312146,9.607822068,9.436033633,8.554344559,8.797385304,9.044934996,8.620223094,9.277565889,8.9434818
"CATMA3a08130",9.289939479,9.285191122,9.288898752,8.969370042,8.869216684,8.759453513,8.910911234,9.893566414,9.501837645,9.487861267,9.365980565,9.605999193,9.572510302,10.3123078,10.2750152,10.27970641,10.60687178,10.06256801,10.5693429,10.3708105,10.47085931,10.53771691,10.69160142,10.46231599
"CATMA3a10755",12.39833654,12.32206207,12.40201145,12.27087869,12.3832846,12.60277322,12.12697495,11.98081073,12.66939008,12.7519856,13.63528294,13.74673949,14.37546652,14.09192139,13.73059765,13.56669723,13.65316686,13.47504366,13.37417122,13.36104125,13.64947271,13.21658519,13.81928844,13.50673689
"CATMA3a12510",9.693629569,9.652863723,9.225359114,9.27500744,9.420896371,9.301557946,9.2096544,9.355503951,8.926153884,9.088411454,9.241229107,10.12553308,10.40073642,10.56369893,10.64020942,9.687750354,10.21136741,9.822679939,10.42533677,10.11579719,9.945774435,10.05971143,10.3887227,10.17562148
